Award Title,Movie Title,Nominee Name(s),Won,Year
Actress in a Supporting Role,The Color Purple,Danielle Brooks,0,2024
Actress in a Supporting Role,Barbie,America Ferrera,0,2024
Actress in a Supporting Role,Nyad,Jodie Foster,0,2024
Animated Feature Film,The Boy and the Heron,"Hayao Miyazaki, Toshio Suzuki",1,2024
Animated Feature Film,Elemental,"Peter Sohn, Denise Ream",0,2024
Animated Feature Film,Nimona,"Nick Bruno, Troy Quane",0,2024
Animated Feature Film,Robot Dreams,Pablo Berger,0,2024
Animated Feature Film,Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",0,2024
Cinematography,Oppenheimer,Hoyte van Hoytema,1,2024
Cinematography,El Conde,Edward Lachman,0,2024
Cinematography,Killers of the Flower Moon,Rodrigo Prieto,0,2024
Cinematography,Maestro,Matthew Libatique,0,2024
Cinematography,Poor Things,Robbie Ryan,0,2024
Costume Design,Poor Things,Holly Waddington,1,2024
Costume Design,Barbie,Jacqueline Durran,0,2024
Costume Design,Killers of the Flower Moon,Jacqueline West,0,2024
Costume Design,Napoleon,"Janty Yates, Dave Crossman",0,2024
Costume Design,Oppenheimer,Ellen Mirojnick,0,2024
Directing,Oppenheimer,Christopher Nolan,1,2024
Directing,Anatomy of a Fall,Justine Triet,0,2024
Directing,Killers of the Flower Moon,Martin Scorsese,0,2024
Directing,Poor Things,Yorgos Lanthimos,0,2024
Directing,The Zone of Interest,Jonathan Glazer,0,2024
Documentary Feature Film,20 Days in Mariupol,"Mstyslav Chernov, Michelle Mizner, Raney Aronson-Rath",1,2024
Documentary Feature Film,Bobi Wine: The People’s President,"Moses Bwayo, Christopher Sharp, John Battsek",0,2024
Documentary Feature Film,The Eternal Memory,Maite Alberdi,0,2024
Documentary Feature Film,Four Daughters,"Kaouther Ben Hania, Nadim Cheikhrouha",0,2024
Documentary Feature Film,To Kill a Tiger,"Nisha Pahuja, Cornelia Principe, David Oppenheim",0,2024
Documentary Short Film,The Last Repair Shop,"Ben Proudfoot, Kris Bowers",1,2024
Documentary Short Film,The ABCs of Book Banning,"Sheila Nevins, Trish Adlesic",0,2024
Documentary Short Film,The Barber of Little Rock,"John Hoffman, Christine Turner",0,2024
Documentary Short Film,Island in Between,"S. Leo Chiang, Jean Tsien",0,2024
Documentary Short Film,Nǎi Nai & Wài Pó,"Sean Wang, Sam Davis",0,2024
Film Editing,Oppenheimer,Jennifer Lame,1,2024
Film Editing,Anatomy of a Fall,Laurent Sénéchal,0,2024
Film Editing,The Holdovers,Kevin Tent,0,2024
Film Editing,Killers of the Flower Moon,Thelma Schoonmaker,0,2024
Film Editing,Poor Things,Yorgos Mavropsaridis,0,2024
International Feature Film,The Zone of Interest,United Kingdom,1,2024
International Feature Film,Io Capitano,Italy,0,2024
International Feature Film,Perfect Days,Japan,0,2024
International Feature Film,Society of the Snow,Spain,0,2024
International Feature Film,The Teachers’ Lounge,Germany,0,2024
Makeup and Hairstyling,Poor Things,"Nadia Stacey, Mark Coulier, Josh Weston",1,2024
Makeup and Hairstyling,Golda,"Karen Hartley Thomas, Suzi Battersby, Ashra Kelly-Blue",0,2024
Makeup and Hairstyling,Maestro,"Kazu Hiro, Kay Georgiou, Lori McCoy-Bell",0,2024
Makeup and Hairstyling,Oppenheimer,Luisa Abel,0,2024
Makeup and Hairstyling,Society of the Snow,"Ana López-Puigcerver, David Martí, Montse Ribé",0,2024
Music (Original Score),Oppenheimer,Ludwig Göransson,1,2024
Music (Original Score),American Fiction,Laura Karpman,0,2024
Music (Original Score),Indiana Jones and the Dial of Destiny,John Williams,0,2024
Music (Original Score),Killers of the Flower Moon,Robbie Robertson,0,2024
Music (Original Score),Poor Things,Jerskin Fendrix,0,2024
Music (Original Song),Barbie,"Billie Eilish, Finneas O'Connell",1,2024
Music (Original Song),Flamin’ Hot,Diane Warren,0,2024
Music (Original Song),Barbie,"Mark Ronson, Andrew Wyatt",0,2024
Music (Original Song),American Symphony,"Jon Batiste, Dan Wilson",0,2024
Music (Original Song),Killers of the Flower Moon,Scott George,0,2024
Best Picture,Oppenheimer,"Emma Thomas, Charles Roven, Christopher Nolan",1,2024
Best Picture,American Fiction,"Ben LeClair, Nikos Karamigios, Cord Jefferson, Jermaine Johnson",0,2024
Best Picture,Anatomy of a Fall,"Marie-Ange Luciani, David Thion",0,2024
Best Picture,Barbie,"David Heyman, Margot Robbie, Tom Ackerley, Robbie Brenner",0,2024
Best Picture,The Holdovers,Mark Johnson,0,2024
Best Picture,Killers of the Flower Moon,"Dan Friedkin, Bradley Thomas, Martin Scorsese, Daniel Lupi",0,2024
Best Picture,Maestro,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning, Kristie Macosko Krieger",0,2024
Best Picture,Past Lives,"David Hinojosa, Christine Vachon, Pamela Koffler",0,2024
Best Picture,Poor Things,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos, Emma Stone",0,2024
Best Picture,The Zone of Interest,James Wilson,0,2024
Production Design,Poor Things,"James Price, Shona Heath, Zsuzsa Mihalek",1,2024
Production Design,Barbie,"Sarah Greenwood, Katie Spencer",0,2024
Production Design,Killers of the Flower Moon,"Jack Fisk, Adam Willis",0,2024
Production Design,Napoleon,"Arthur Max, Elli Griff",0,2024
Production Design,Oppenheimer,"Ruth De Jong, Claire Kaufman",0,2024
Animated Short Film,WAR IS OVER! Inspired by the Music of John & Yoko,"Dave Mullins, Brad Booker",1,2024
Animated Short Film,Letter to a Pig,"Tal Kantor, Amit R. Gicelter",0,2024
Animated Short Film,Ninety-Five Senses,"Jerusha Hess, Jared Hess",0,2024
Animated Short Film,Our Uniform,Yegane Moghaddam,0,2024
Animated Short Film,Pachyderme,"Stéphanie Clément, Marc Rius",0,2024
Live Action Short Film,The Wonderful Story of Henry Sugar,"Wes Anderson, Steven Rales",1,2024
Live Action Short Film,The After,"Misan Harriman, Nicky Bentham",0,2024
Live Action Short Film,Invincible,"Vincent René-Lortie, Samuel Caron",0,2024
Live Action Short Film,Knight of Fortune,"Lasse Lyskjær Noer, Christian Norlyk",0,2024
Live Action Short Film,"Red, White and Blue","Nazrin Choudhury, Sara McFarlane",0,2024
Sound,The Zone of Interest,"Tarn Willers, Johnnie Burn",1,2024
Sound,The Creator,"Ian Voigt, Erik Aadahl, Ethan Van der Ryn, Tom Ozanich, Dean Zupancic",0,2024
Sound,Maestro,"Steven A. Morrow, Richard King, Jason Ruder, Tom Ozanich, Dean Zupancic",0,2024
Sound,Mission: Impossible - Dead Reckoning Part One,"Chris Munro, James H. Mather, Chris Burdon, Mark Taylor",0,2024
Sound,Oppenheimer,"Willie Burton, Richard King, Gary A. Rizzo, Kevin O'Connell",0,2024
Visual Effects,Godzilla Minus One,"Takashi Yamazaki, Kiyoko Shintani, Yuji Kondo",1,2024
Visual Effects,Guardians of the Galaxy Vol. 3,"Dan DeLeeuw, Russell Earl, Victor Perez, Dan Sudick",0,2024
Visual Effects,Indiana Jones and the Dial of Destiny,"Roger Guyett, Adam Valdez, Jonathan Fawkner, Michael Ballau",0,2024
Visual Effects,Mission: Impossible - Dead Reckoning Part One,"Scott Farrar, Scott Benza, Mike Prestwood Smith",0,2024
Visual Effects,Oppenheimer,"Andrew Jackson, Scott Fisher, Mark Weingartner, Bryan L. Toth",0,2024
Writing (Adapted Screenplay),American Fiction,Cord Jefferson,1,2024
Writing (Adapted Screenplay),Killers of the Flower Moon,Eric Roth,0,2024
Writing (Adapted Screenplay),Maestro,Bradley Cooper,0,2024
Writing (Adapted Screenplay),The Holdovers,David Hemingson,0,2024
Writing (Adapted Screenplay),Poor Things,Tony McNamara,0,2024
Writing (Original Screenplay),Oppenheimer,Christopher Nolan,1,2024
Writing (Original Screenplay),Barbie,"Greta Gerwig, Noah Baumbach",0,2024
Writing (Original Screenplay),The Holdovers,David Hemingson,0,2024
Writing (Original Screenplay),Poor Things,"Yorgos Lanthimos, Tony McNamara",0,2024
Writing (Original Screenplay),The Zone of Interest,Jonathan Glazer,0,2024
Actor in a Leading Role,The Whale,Brendan Fraser,1,2023
Actor in a Leading Role,Elvis,Austin Butler,0,2023
Actor in a Leading Role,The Banshees of Inisherin,Colin Farrell,0,2023
Actor in a Leading Role,Aftersun,Paul Mescal,0,2023
Actor in a Leading Role,Living,Bill Nighy,0,2023
Actor in a Supporting Role,Everything Everywhere All at Once,Ke Huy Quan,1,2023
Actor in a Supporting Role,The Banshees of Inisherin,Brendan Gleeson,0,2023
Actor in a Supporting Role,Causeway,Brian Tyree Henry,0,2023
Actor in a Supporting Role,The Fabelmans,Judd Hirsch,0,2023
Actor in a Supporting Role,The Banshees of Inisherin,Barry Keoghan,0,2023
Actress in a Leading Role,Everything Everywhere All at Once,Michelle Yeoh,1,2023
Actress in a Leading Role,Tár,Cate Blanchett,0,2023
Actress in a Leading Role,Blonde,Ana de Armas,0,2023
Actress in a Leading Role,To Leslie,Andrea Riseborough,0,2023
Actress in a Leading Role,The Fabelmans,Michelle Williams,0,2023
Actress in a Supporting Role,Everything Everywhere All at Once,Jamie Lee Curtis,1,2023
Actress in a Supporting Role,Black Panther: Wakanda Forever,Angela Bassett,0,2023
Actress in a Supporting Role,The Whale,Hong Chau,0,2023
Actress in a Supporting Role,The Banshees of Inisherin,Kerry Condon,0,2023
Actress in a Supporting Role,Everything Everywhere All at Once,Stephanie Hsu,0,2023
Animated Feature Film,Guillermo del Toro's Pinocchio,"Guillermo del Toro, Mark Gustafson, Gary Ungar, and Alex Bulkley",1,2023
Animated Feature Film,Marcel the Shell with Shoes On,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan, and Paul Mezey",0,2023
Animated Feature Film,Puss in Boots: The Last Wish,Joel Crawford and Mark Swift,0,2023
Animated Feature Film,The Sea Beast,Chris Williams and Jed Schlanger,0,2023
Animated Feature Film,Turning Red,Domee Shi and Lindsey Collins,0,2023
Cinematography,All Quiet on the Western Front,James Friend,1,2023
Cinematography,"Bardo, False Chronicle of a Handful of Truths",Darius Khondji,0,2023
Cinematography,Elvis,Mandy Walker,0,2023
Cinematography,Empire of Light,Roger Deakins,0,2023
Cinematography,Tár,Florian Hoffmeister,0,2023
Costume Design,Black Panther: Wakanda Forever,Ruth Carter,1,2023
Costume Design,Babylon,Mary Zophres,0,2023
Costume Design,Elvis,Catherine Martin,0,2023
Costume Design,Everything Everywhere All at Once,Shirley Kurata,0,2023
Costume Design,Mrs. Harris Goes to Paris,Jenny Beavan,0,2023
Directing,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,1,2023
Directing,The Banshees of Inisherin,Martin McDonagh,0,2023
Directing,The Fabelmans,Steven Spielberg,0,2023
Directing,Tár,Todd Field,0,2023
Directing,Triangle of Sadness,Ruben Östlund,0,2023
Documentary Feature Film,Navalny,"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller, and Shane Boris",1,2023
Documentary Feature Film,All That Breathes,"Shaunak Sen, Aman Mann, and Teddy Leifer",0,2023
Documentary Feature Film,All the Beauty and the Bloodshed,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin, and Yoni Golijov",0,2023
Documentary Feature Film,Fire of Love,"Sara Dosa, Shane Boris, and Ina Fichman",0,2023
Documentary Feature Film,A House Made of Splinters,Simon Lereng Wilmont and Monica Hellström,0,2023
Documentary Short Film,The Elephant Whisperers,Kartiki Gonsalves and Guneet Monga,1,2023
Documentary Short Film,Haulout,Evgenia Arbugaeva and Maxim Arbugaev,0,2023
Documentary Short Film,How Do You Measure a Year?,Jay Rosenblatt,0,2023
Documentary Short Film,The Martha Mitchell Effect,Anne Alvergue and Beth Levison,0,2023
Documentary Short Film,Stranger at the Gate,Joshua Seftel and Conall Jones,0,2023
Film Editing,Everything Everywhere All at Once,Paul Rogers,1,2023
Film Editing,The Banshees of Inisherin,Mikkel E.G. Nielsen,0,2023
Film Editing,Elvis,Matt Villa and Jonathan Redmond,0,2023
Film Editing,Tár,Monika Willi,0,2023
Film Editing,Top Gun: Maverick,Eddie Hamilton,0,2023
International Feature Film,All Quiet on the Western Front,Germany,1,2023
International Feature Film,"Argentina, 1985",Argentina,0,2023
International Feature Film,Close,Belgium,0,2023
International Feature Film,EO,Poland,0,2023
International Feature Film,The Quiet Girl,Ireland,0,2023
Makeup and Hairstyling,The Whale,"Adrien Morot, Judy Chin, and Annemarie Bradley",1,2023
Makeup and Hairstyling,All Quiet on the Western Front,Heike Merker and Linda Eisenhamerová,0,2023
Makeup and Hairstyling,The Batman,"Naomi Donne, Mike Marino, and Mike Fontaine",0,2023
Makeup and Hairstyling,Black Panther: Wakanda Forever,Camille Friend and Joel Harlow,0,2023
Makeup and Hairstyling,Elvis,"Mark Coulier, Jason Baird, and Aldo Signoretti",0,2023
Music (Original Score),All Quiet on the Western Front,Volker Bertelmann,1,2023
Music (Original Score),Babylon,Justin Hurwitz,0,2023
Music (Original Score),The Banshees of Inisherin,Carter Burwell,0,2023
Music (Original Score),Everything Everywhere All at Once,Son Lux,0,2023
Music (Original Score),The Fabelmans,John Williams,0,2023
Music (Original Song),RRR,from RRR,1,2023
Music (Original Song),Tell It Like a Woman,Applause,0,2023
Music (Original Song),Top Gun: Maverick,Hold My Hand,0,2023
Music (Original Song),Black Panther: Wakanda Forever,Lift Me Up,0,2023
Music (Original Song),Everything Everywhere All at Once,This Is A Life,0,2023
Best Picture,Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert, and Jonathan Wang",1,2023
Best Picture,All Quiet on the Western Front,Malte Grunert,0,2023
Best Picture,Avatar: The Way of Water,James Cameron and Jon Landau,0,2023
Best Picture,The Banshees of Inisherin,"Graham Broadbent, Pete Czernin, and Martin McDonagh",0,2023
Best Picture,Elvis,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick, and Schuyler Weiss",0,2023
Best Picture,The Fabelmans,"Kristie Macosko Krieger, Steven Spielberg, and Tony Kushner",0,2023
Best Picture,Tár,"Todd Field, Alexandra Milchan, and Scott Lambert",0,2023
Best Picture,Top Gun: Maverick,"Tom Cruise, Christopher McQuarrie, David Ellison, and Jerry Bruckheimer",0,2023
Best Picture,Triangle of Sadness,Erik Hemmendorff and Philippe Bober,0,2023
Best Picture,Women Talking,"Dede Gardner, Jeremy Kleiner, and Frances McDormand",0,2023
Production Design,All Quiet on the Western Front,Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper,1,2023
Production Design,Avatar: The Way of Water,Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole,0,2023
Production Design,Babylon,Production Design: Florencia Martin; Set Decoration: Anthony Carlino,0,2023
Production Design,Elvis,Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn,0,2023
Production Design,The Fabelmans,Production Design: Rick Carter; Set Decoration: Karen O'Hara,0,2023
Short Film (Animated),"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy and Matthew Freud,1,2023
Short Film (Animated),The Flying Sailor,Amanda Forbis and Wendy Tilby,0,2023
Short Film (Animated),Ice Merchants,João Gonzalez and Bruno Caetano,0,2023
Short Film (Animated),My Year of Dicks,Sara Gunnarsdóttir and Pamela Ribon,0,2023
Short Film (Animated),An Ostrich Told Me the World Is Fake and I Think I Believe It,Lachlan Pendragon,0,2023
Short Film (Live Action),An Irish Goodbye,Tom Berkeley and Ross White,1,2023
Short Film (Live Action),Ivalu,Anders Walter and Rebecca Pruzan,0,2023
Short Film (Live Action),Le Pupille,Alice Rohrwacher and Alfonso Cuarón,0,2023
Short Film (Live Action),Night Ride,Eirik Tveiten and Gaute Lid Larssen,0,2023
Short Film (Live Action),The Red Suitcase,Cyrus Neshvad,0,2023
Sound,Top Gun: Maverick,"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon, and Mark Taylor",1,2023
Sound,All Quiet on the Western Front,"Viktor Prášil, Frank Kruse, Markus Stemler, Lars Ginzel, and Stefan Korte",0,2023
Sound,Avatar: The Way of Water,"Julian Howarth, Gwendolyn Yates Whittle, Dick Bernstein, Christopher Boyes, Gary Summers, and Michael Hedges",0,2023
Sound,The Batman,"Stuart Wilson, William Files, Douglas Murray, and Andy Nelson",0,2023
Sound,Elvis,"David Lee, Wayne Pashley, Andy Nelson, and Michael Keller",0,2023
Visual Effects,Avatar: The Way of Water,"Joe Letteri, Richard Baneham, Eric Saindon, and Daniel Barrett",1,2023
Visual Effects,All Quiet on the Western Front,"Frank Petzold, Viktor Müller, Markus Frank, and Kamil Jafar",0,2023
Visual Effects,The Batman,"Dan Lemmon, Russell Earl, Anders Langlands, and Dominic Tuohy",0,2023
Visual Effects,Black Panther: Wakanda Forever,"Geoffrey Baumann, Craig Hammack, R. Christopher White, and Dan Sudick",0,2023
Visual Effects,Top Gun: Maverick,"Ryan Tudhope, Seth Hill, Bryan Litson, and Scott R. Fisher",0,2023
Writing (Adapted Screenplay),Women Talking,Sarah Polley,1,2023
Writing (Adapted Screenplay),All Quiet on the Western Front,"Edward Berger, Lesley Paterson & Ian Stokell",0,2023
Writing (Adapted Screenplay),Glass Onion: A Knives Out Mystery,Rian Johnson,0,2023
