Award Title,Movie Title,Nominee Name(s),Won,Year,url
Actress in a Leading Role,Zero Dark Thirty,Jessica Chastain,0,2013,https://letterboxd.com/film/zero-dark-thirty/
Actress in a Leading Role,Amour,Emmanuelle Riva,0,2013,https://letterboxd.com/film/amour/
Actress in a Leading Role,Beasts of the Southern Wild,Quvenzhané Wallis,0,2013,https://letterboxd.com/film/beasts-of-the-southern-wild/
Actress in a Leading Role,The Impossible,Naomi Watts,0,2013,https://letterboxd.com/film/the-impossible/
Actress in a Supporting Role,Les Misérables,Anne Hathaway,1,2013,https://letterboxd.com/film/les-miserables-2012/
Actress in a Supporting Role,The Master,Amy Adams,0,2013,https://letterboxd.com/film/the-master-2012/
Actress in a Supporting Role,Lincoln,Sally Field,0,2013,https://letterboxd.com/film/lincoln/
Actress in a Supporting Role,The Sessions,Helen Hunt,0,2013,https://letterboxd.com/film/the-sessions/
Actress in a Supporting Role,Silver Linings Playbook,Jacki Weaver,0,2013,https://letterboxd.com/film/silver-linings-playbook/
Animated Feature Film,Brave,Mark Andrews and Brenda Chapman,1,2013,https://letterboxd.com/film/brave-2012/
Animated Feature Film,Frankenweenie,Tim Burton,0,2013,https://letterboxd.com/film/frankenweenie-2012/
Animated Feature Film,ParaNorman,Sam Fell and Chris Butler,0,2013,https://letterboxd.com/film/paranorman/
Animated Feature Film,The Pirates! Band of Misfits,Peter Lord,0,2013,https://letterboxd.com/film/the-pirates-band-of-misfits/
Animated Feature Film,Wreck-It Ralph,Rich Moore,0,2013,https://letterboxd.com/film/wreck-it-ralph/
Cinematography,Life of Pi,Claudio Miranda,1,2013,https://letterboxd.com/film/life-of-pi/
Cinematography,Anna Karenina,Seamus McGarvey,0,2013,https://letterboxd.com/film/anna-karenina-2012/
Cinematography,Django Unchained,Robert Richardson,0,2013,https://letterboxd.com/film/django-unchained/
Cinematography,Lincoln,Janusz Kaminski,0,2013,https://letterboxd.com/film/lincoln/
Cinematography,Skyfall,Roger Deakins,0,2013,https://letterboxd.com/film/skyfall/
Costume Design,Anna Karenina,Jacqueline Durran,1,2013,https://letterboxd.com/film/anna-karenina-2012/
Costume Design,Les Misérables,Paco Delgado,0,2013,https://letterboxd.com/film/les-miserables-2012/
Costume Design,Lincoln,Joanna Johnston,0,2013,https://letterboxd.com/film/lincoln/
Costume Design,Mirror Mirror,Eiko Ishioka,0,2013,https://letterboxd.com/film/mirror-mirror-2012/
Costume Design,Snow White and the Huntsman,Colleen Atwood,0,2013,https://letterboxd.com/film/snow-white-and-the-huntsman/
Directing,Life of Pi,Ang Lee,1,2013,https://letterboxd.com/film/life-of-pi/
Directing,Amour,Michael Haneke,0,2013,https://letterboxd.com/film/amour/
Directing,Beasts of the Southern Wild,Benh Zeitlin,0,2013,https://letterboxd.com/film/beasts-of-the-southern-wild/
Directing,Lincoln,Steven Spielberg,0,2013,https://letterboxd.com/film/lincoln/
Directing,Silver Linings Playbook,David O. Russell,0,2013,https://letterboxd.com/film/silver-linings-playbook/
Documentary (Feature),Searching for Sugar Man,Malik Bendjelloul and Simon Chinn,1,2013,https://letterboxd.com/film/searching-for-sugar-man/
Documentary (Feature),5 Broken Cameras,Emad Burnat and Guy Davidi,0,2013,https://letterboxd.com/film/5-broken-cameras/
Documentary (Feature),The Gatekeepers,"Dror Moreh, Philippa Kowarsky and Estelle Fialon",0,2013,https://letterboxd.com/film/the-gatekeepers/
Documentary (Feature),How to Survive a Plague,David France and Howard Gertler,0,2013,https://letterboxd.com/film/how-to-survive-a-plague/
Documentary (Feature),The Invisible War,Kirby Dick and Amy Ziering,0,2013,https://letterboxd.com/film/the-invisible-war/
Documentary (Short Subject),Inocente,Sean Fine and Andrea Nix Fine,1,2013,https://letterboxd.com/film/inocente/
Documentary (Short Subject),Kings Point,Sari Gilman and Jedd Wider,0,2013,https://letterboxd.com/film/kings-point/
Documentary (Short Subject),Mondays at Racine,Cynthia Wade and Robin Honan,0,2013,https://letterboxd.com/film/mondays-at-racine/
Documentary (Short Subject),Open Heart,Kief Davidson and Cori Shepherd Stern,0,2013,https://letterboxd.com/film/open-heart-2013/
Documentary (Short Subject),Redemption,Jon Alpert and Matthew O'Neill,0,2013,https://letterboxd.com/film/redemption-2012/
Film Editing,Argo,William Goldenberg,1,2013,https://letterboxd.com/film/argo/
Film Editing,Life of Pi,Tim Squyres,0,2013,https://letterboxd.com/film/life-of-pi/
Film Editing,Lincoln,Michael Kahn,0,2013,https://letterboxd.com/film/lincoln/
Film Editing,Silver Linings Playbook,Jay Cassidy and Crispin Struthers,0,2013,https://letterboxd.com/film/silver-linings-playbook/
Film Editing,Zero Dark Thirty,Dylan Tichenor and William Goldenberg,0,2013,https://letterboxd.com/film/zero-dark-thirty/
Foreign Language Film,Amour,Austria,1,2013,https://letterboxd.com/film/amour/
Foreign Language Film,Kon-Tiki,Norway,0,2013,https://letterboxd.com/film/kon-tiki/
Foreign Language Film,No,Chile,0,2013,https://letterboxd.com/film/no-2012/
Foreign Language Film,A Royal Affair,Denmark,0,2013,https://letterboxd.com/film/a-royal-affair/
Foreign Language Film,War Witch,Canada,0,2013,https://letterboxd.com/film/war-witch/
Jean Hersholt Humanitarian Award,None,Jeffrey Katzenberg,1,2013,NA
Makeup and Hairstyling,Les Misérables,Lisa Westcott and Julie Dartnell,1,2013,https://letterboxd.com/film/les-miserables-2012/
Makeup and Hairstyling,Hitchcock,"Howard Berger, Peter Montagna and Martin Samuel",0,2013,https://letterboxd.com/film/hitchcock/
Makeup and Hairstyling,The Hobbit: An Unexpected Journey,"Peter Swords King, Rick Findlater and Tami Lane",0,2013,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
Music (Original Score),Life of Pi,Mychael Danna,1,2013,https://letterboxd.com/film/life-of-pi/
Music (Original Score),Anna Karenina,Dario Marianelli,0,2013,https://letterboxd.com/film/anna-karenina-2012/
Music (Original Score),Argo,Alexandre Desplat,0,2013,https://letterboxd.com/film/argo/
Music (Original Score),Lincoln,John Williams,0,2013,https://letterboxd.com/film/lincoln/
Music (Original Score),Skyfall,Thomas Newman,0,2013,https://letterboxd.com/film/skyfall/
Best Picture,Argo,"Grant Heslov, Ben Affleck and George Clooney, Producers",1,2013,https://letterboxd.com/film/argo/
Best Picture,Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",0,2013,https://letterboxd.com/film/amour/
Best Picture,Beasts of the Southern Wild,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",0,2013,https://letterboxd.com/film/beasts-of-the-southern-wild/
Best Picture,Django Unchained,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",0,2013,https://letterboxd.com/film/django-unchained/
