Award Title,film_name,Nominee Name(s),Won,Year,url
Production Design,Passengers,Guy Hendrix Dyas; Set Decoration: Gene Serdena,0,2017,https://letterboxd.com/film/passengers-2016/
Short Film (Animated),Piper,Alan Barillaro and Marc Sondheimer,1,2017,https://letterboxd.com/film/piper/
Short Film (Animated),Blind Vaysha,Theodore Ushev,0,2017,https://letterboxd.com/film/blind-vaysha/
Short Film (Animated),Borrowed Time,Andrew Coats and Lou Hamou-Lhadj,0,2017,https://letterboxd.com/film/borrowed-time-2016/
Short Film (Animated),Pear Cider and Cigarettes,Robert Valley and Cara Speller,0,2017,https://letterboxd.com/film/pear-cider-and-cigarettes/
Short Film (Animated),Pearl,Patrick Osborne,0,2017,https://letterboxd.com/film/pearl-2016/
Short Film (Live Action),Sing,Kristof Deák and Anna Udvardy,1,2017,https://letterboxd.com/film/sing-2016/
Short Film (Live Action),Ennemis Intérieurs,Sélim Azzazi,0,2017,https://letterboxd.com/film/ennemis-interieurs/
Short Film (Live Action),La Femme et le TGV,Timo von Gunten and Giacun Caduff,0,2017,https://letterboxd.com/film/la-femme-et-le-tgv/
Short Film (Live Action),Silent Nights,Aske Bang and Kim Magnusson,0,2017,https://letterboxd.com/film/silent-nights/
Short Film (Live Action),Timecode,Juanjo Giménez,0,2017,https://letterboxd.com/film/timecode-2016/
Sound Editing,Arrival,Sylvain Bellemare,1,2017,https://letterboxd.com/film/arrival-2016/
Sound Editing,Deepwater Horizon,Wylie Stateman and Renée Tondelli,0,2017,https://letterboxd.com/film/deepwater-horizon/
Sound Editing,Hacksaw Ridge,Robert Mackenzie and Andy Wright,0,2017,https://letterboxd.com/film/hacksaw-ridge/
Sound Editing,La La Land,Ai-Ling Lee and Mildred Iatrou Morgan,0,2017,https://letterboxd.com/film/la-la-land/
Sound Editing,Sully,Alan Robert Murray and Bub Asman,0,2017,https://letterboxd.com/film/sully/
Sound Mixing,Hacksaw Ridge,"Kevin O’Connell, Andy Wright, Robert Mackenzie and Peter Grace",1,2017,https://letterboxd.com/film/hacksaw-ridge/
Sound Mixing,Arrival,Bernard Gariépy Strobl and Claude La Haye,0,2017,https://letterboxd.com/film/arrival-2016/
Sound Mixing,La La Land,"Andy Nelson, Ai-Ling Lee and Steve A. Morrow",0,2017,https://letterboxd.com/film/la-la-land/
Sound Mixing,Rogue One: A Star Wars Story,"David Parker, Christopher Scarabosio and Stuart Wilson",0,2017,https://letterboxd.com/film/rogue-one-a-star-wars-story/
Sound Mixing,13 Hours: The Secret Soldiers of Benghazi,"Gary Summers, Jeffrey J. Haboush and Mac Ruth",0,2017,https://letterboxd.com/film/13-hours-the-secret-soldiers-of-benghazi/
Visual Effects,The Jungle Book,"Robert Legato, Adam Valdez, Andrew R. Jones and Dan Lemmon",1,2017,https://letterboxd.com/film/the-jungle-book-2016/
